tweet_id,retweet_count,favorite_count
892420643555336193,7725,36297
892177421306343426,5718,31301
891815181378084864,3786,23568
891689557279858688,7888,39594
891327558926688256,8506,37812
891087950875897856,2851,19046
890971913173991426,1855,11093
890729181411237888,17242,61162
890609185150312448,3924,26200
890240255349198849,6718,29949
890006608113172480,6702,28826
889880896479866881,4564,26217
889665388333682689,9152,45147
889638837579907072,4107,25414
889531135344209921,2061,14214
889278841981685760,4874,23678
888917238123831296,4116,27364
888804989199671297,3881,24047
888554962724278272,3185,18561
888078434458587136,3166,20471
887705289381826560,4921,28431
887517139158093824,10771,43598
887473957103951883,16460,64636
887343217045368832,9571,31637
887101392804085760,5452,28779
886983233522544640,7018,32847
886736880519319552,2940,11270
886680336477933568,4086,21120
886366144734445568,2895,19880
886267009285017600,4,111
886258384151887873,5774,26324
886054160059072513,100,0
885984800019947520,6143,30608
885528943205470208,5847,33794
885518971528720385,3408,19249
885311592912609280,16942,0
885167619883638784,3999,20591
884925521741709313,16558,72534
884876753390489601,5109,26196
884562892145688576,4301,22834
884441805382717440,5213,25471
884247878851493888,18601,68274
884162670584377345,2738,19182
883838122936631299,3145,20557
883482846933004288,9035,43076
883360690899218434,3388,21325
883117836046086144,6071,34869
882992080364220416,3563,22452
882762694511734784,4478,26574
882627270321602560,5562,26315
882268110199369728,10592,42167
882045870035918850,4471,27561
881906580714921986,3112,22880
881666595344535552,9774,47624
881633300179243008,7,117
881536004380872706,14611,46501
881268444196462592,4823,21853
880935762899988482,2552,16054
880872448815771648,3508,20025
880465832366813184,5696,26811
880221127280381952,3813,25376
880095782870896641,3977,25996
879862464715927552,3207,21048
879674319642796034,10,297
879492040517615616,2916,22092
879415818425184262,40701,99511
879376492567855104,2864,15812
879130579576475649,6235,0
879050749262655488,4300,21215
879008229531029506,2462,17883
878776093423087618,3748,18219
878604707211726852,6519,28362
878404777348136964,1181,0
878316110768087041,6110,0
878281511006478336,1181,7284
878057613040115712,6235,39642
