year_city,city,country,avg_temp_city,year_glob,avg_temp_glob
1753,Athens,Greece,17.35,1753,8.39
1754,Athens,Greece,17.47,1754,8.47
1755,Athens,Greece,17.22,1755,8.36
1756,Athens,Greece,17.92,1756,8.85
1757,Athens,Greece,17.68,1757,9.02
1758,Athens,Greece,16.07,1758,6.74
1759,Athens,Greece,17.11,1759,7.99
1760,Athens,Greece,16.61,1760,7.19
1761,Athens,Greece,17.65,1761,8.77
1762,Athens,Greece,17.55,1762,8.61
1763,Athens,Greece,16.71,1763,7.50
1764,Athens,Greece,17.65,1764,8.40
1765,Athens,Greece,17.56,1765,8.25
1766,Athens,Greece,17.50,1766,8.41
1767,Athens,Greece,17.16,1767,8.22
1768,Athens,Greece,16.05,1768,6.78
1769,Athens,Greece,17.20,1769,7.69
1770,Athens,Greece,17.15,1770,7.69
1771,Athens,Greece,17.27,1771,7.85
1772,Athens,Greece,18.29,1772,8.19
1773,Athens,Greece,17.49,1773,8.22
1774,Athens,Greece,17.88,1774,8.77
1775,Athens,Greece,18.10,1775,9.18
1776,Athens,Greece,17.07,1776,8.30
1777,Athens,Greece,17.06,1777,8.26
1778,Athens,Greece,17.81,1778,8.54
1779,Athens,Greece,17.83,1779,8.98
1780,Athens,Greece,17.93,1780,9.43
1781,Athens,Greece,17.59,1781,8.10
1782,Athens,Greece,17.02,1782,7.90
1783,Athens,Greece,17.19,1783,7.68
1784,Athens,Greece,17.25,1784,7.86
1785,Athens,Greece,16.64,1785,7.36
1786,Athens,Greece,17.11,1786,8.26
1787,Athens,Greece,17.49,1787,8.03
1788,Athens,Greece,17.64,1788,8.45
1789,Athens,Greece,17.44,1789,8.33
1790,Athens,Greece,17.49,1790,7.98
1791,Athens,Greece,17.87,1791,8.23
1792,Athens,Greece,17.31,1792,8.09
1793,Athens,Greece,17.01,1793,8.23
1794,Athens,Greece,17.57,1794,8.53
1795,Athens,Greece,17.49,1795,8.35
1796,Athens,Greece,17.53,1796,8.27
1797,Athens,Greece,17.91,1797,8.51
1798,Athens,Greece,17.74,1798,8.67
1799,Athens,Greece,17.43,1799,8.51
1800,Athens,Greece,17.73,1800,8.48
1801,Athens,Greece,18.16,1801,8.59
1802,Athens,Greece,18.27,1802,8.58
1803,Athens,Greece,17.41,1803,8.50
1804,Athens,Greece,17.70,1804,8.84
1805,Athens,Greece,17.00,1805,8.56
1806,Athens,Greece,17.66,1806,8.43
1807,Athens,Greece,17.80,1807,8.28
1808,Athens,Greece,16.59,1808,7.63
1809,Athens,Greece,16.48,1809,7.08
1810,Athens,Greece,16.76,1810,6.92
1811,Athens,Greece,16.99,1811,6.86
1812,Athens,Greece,16.27,1812,7.05
1813,Athens,Greece,16.55,1813,7.74
1814,Athens,Greece,16.51,1814,7.59
1815,Athens,Greece,16.56,1815,7.24
1816,Athens,Greece,16.14,1816,6.94
1817,Athens,Greece,16.57,1817,6.98
1818,Athens,Greece,17.10,1818,7.83
1819,Athens,Greece,16.95,1819,7.37
1820,Athens,Greece,17.07,1820,7.62
1821,Athens,Greece,16.84,1821,8.09
1822,Athens,Greece,17.26,1822,8.19
1823,Athens,Greece,17.10,1823,7.72
1824,Athens,Greece,17.77,1824,8.55
1825,Athens,Greece,17.04,1825,8.39
1826,Athens,Greece,16.90,1826,8.36
1827,Athens,Greece,17.71,1827,8.81
